Province,Month,Total Covid Cases,Rate of Covid Cases,Percentage of Pop with Covid,Percentage of Pop with Covid by 100
Ontario,January,3,3,0,0
Ontario,February,15,12,0,0
Ontario,March,2392,2377,0.0002,0.02
Ontario,April,16608,14216,0.0011,0.11
Ontario,May,28263,11655,0.0019,0.19
Ontario,June,35068,6805,0.0024,0.24
Ontario,July,39333,4265,0.0027,0.27
Ontario,August,42421,3088,0.0029,0.29
Ontario,September,52248,9827,0.0036,0.36
Ontario,October,76707,24459,0.0053,0.53
British Columbia,January,1,1,0,0
British Columbia,February,8,7,0,0
British Columbia,March,1066,1058,0.0002,0.02
British Columbia,April,2145,1079,0.0004,0.04
British Columbia,May,2597,452,0.0005,0.05
British Columbia,June,2916,319,0.0006,0.06
British Columbia,July,3641,725,0.0007,0.07
British Columbia,August,5848,2207,0.0012,0.12
British Columbia,September,9220,3372,0.0018,0.18
British Columbia,October,15122,5902,0.003,0.3
Quebec,January,0,0,0,0
Quebec,February,1,1,0,0
Quebec,March,4611,4610,0.0005,0.05
Quebec,April,28646,24035,0.0034,0.34
Quebec,May,51354,22708,0.0061,0.61
Quebec,June,55458,4104,0.0065,0.65
Quebec,July,59458,4000,0.007,0.7
Quebec,August,62614,3156,0.0074,0.74
Quebec,September,75221,12607,0.0089,0.89
Quebec,October,106981,31760,0.0126,1.26
Nova Scotia,January,0,0,0,0
Nova Scotia,February,0,0,0,0
Nova Scotia,March,173,173,0.0002,0.02
Nova Scotia,April,959,786,0.001,0.1
Nova Scotia,May,1057,98,0.0011,0.11
Nova Scotia,June,1062,5,0.0011,0.11
Nova Scotia,July,1069,7,0.0011,0.11
Nova Scotia,August,1085,16,0.0011,0.11
Nova Scotia,September,1088,3,0.0011,0.11
Nova Scotia,October,1111,23,0.0011,0.11
New Brunswick,January,0,0,0,0
New Brunswick,February,0,0,0,0
New Brunswick,March,81,81,0.0001,0.01
New Brunswick,April,118,37,0.0002,0.02
New Brunswick,May,132,14,0.0002,0.02
New Brunswick,June,165,33,0.0002,0.02
New Brunswick,July,170,5,0.0002,0.02
New Brunswick,August,191,21,0.0002,0.02
New Brunswick,September,200,9,0.0003,0.03
New Brunswick,October,344,144,0.0004,0.04
Manitoba,January,0,0,0,0
Manitoba,February,0,0,0,0
Manitoba,March,109,109,0.0001,0.01
Manitoba,April,268,159,0.0002,0.02
Manitoba,May,284,16,0.0002,0.02
Manitoba,June,314,30,0.0002,0.02
Manitoba,July,403,89,0.0003,0.03
Manitoba,August,1232,829,0.0009,0.09
Manitoba,September,2029,797,0.0015,0.15
Manitoba,October,6034,4005,0.0044,0.44
Prince Edward Island,January,0,0,0,0
Prince Edward Island,February,0,0,0,0
Prince Edward Island,March,21,21,0.0001,0.01
Prince Edward Island,April,27,6,0.0002,0.02
Prince Edward Island,May,27,0,0.0002,0.02
Prince Edward Island,June,27,0,0.0002,0.02
Prince Edward Island,July,36,9,0.0002,0.02
Prince Edward Island,August,44,8,0.0003,0.03
Prince Edward Island,September,59,15,0.0004,0.04
Prince Edward Island,October,64,5,0.0004,0.04
Saskatchewan,January,0,0,0,0
Saskatchewan,February,0,0,0,0
Saskatchewan,March,193,193,0.0002,0.02
Saskatchewan,April,415,222,0.0004,0.04
Saskatchewan,May,646,231,0.0006,0.06
Saskatchewan,June,785,139,0.0007,0.07
Saskatchewan,July,1334,549,0.0011,0.11
Saskatchewan,August,1622,288,0.0014,0.14
Saskatchewan,September,1927,305,0.0016,0.16
Saskatchewan,October,3218,1291,0.0027,0.27
Alberta,January,0,0,0,0
Alberta,February,0,0,0,0
Alberta,March,754,754,0.0002,0.02
Alberta,April,5573,4819,0.0013,0.13
Alberta,May,7044,1471,0.0016,0.16
Alberta,June,8108,1064,0.0019,0.19
Alberta,July,10843,2735,0.0025,0.25
Alberta,August,14066,3223,0.0032,0.32
Alberta,September,18235,4169,0.0042,0.42
Alberta,October,28770,10535,0.0066,0.66
Newfoundland and Labrador,January,0,0,0,0
Newfoundland and Labrador,February,0,0,0,0
Newfoundland and Labrador,March,175,175,0.0003,0.03
Newfoundland and Labrador,April,259,84,0.0005,0.05
Newfoundland and Labrador,May,261,2,0.0005,0.05
Newfoundland and Labrador,June,261,0,0.0005,0.05
Newfoundland and Labrador,July,266,5,0.0005,0.05
Newfoundland and Labrador,August,269,3,0.0005,0.05
Newfoundland and Labrador,September,275,6,0.0005,0.05
Newfoundland and Labrador,October,291,16,0.0006,0.06
