Location,Expenditure,Year,Type
Canada,72075,2010,Total expenditure
Newfoundland and Labrador,62430,2010,Total expenditure
Prince Edward Island,59534,2010,Total expenditure
Nova Scotia,61939,2010,Total expenditure
New Brunswick,60942,2010,Total expenditure
Quebec,62257,2010,Total expenditure
Ontario,75556,2010,Total expenditure
Manitoba,67908,2010,Total expenditure
Saskatchewan,70444,2010,Total expenditure
Alberta,89077,2010,Total expenditure
British Columbia,74841,2010,Total expenditure
Canada,73646,2011,Total expenditure
Newfoundland and Labrador,66377,2011,Total expenditure
Prince Edward Island,61328,2011,Total expenditure
Nova Scotia,67037,2011,Total expenditure
New Brunswick,62342,2011,Total expenditure
Quebec,64625,2011,Total expenditure
Ontario,77125,2011,Total expenditure
Manitoba,68200,2011,Total expenditure
Saskatchewan,71310,2011,Total expenditure
Alberta,89287,2011,Total expenditure
British Columbia,75196,2011,Total expenditure
Canada,75695,2012,Total expenditure
Newfoundland and Labrador,70193,2012,Total expenditure
Prince Edward Island,67346,2012,Total expenditure
Nova Scotia,68111,2012,Total expenditure
New Brunswick,64453,2012,Total expenditure
Quebec,64681,2012,Total expenditure
Ontario,78846,2012,Total expenditure
Manitoba,71492,2012,Total expenditure
Saskatchewan,75277,2012,Total expenditure
Alberta,97387,2012,Total expenditure
British Columbia,75856,2012,Total expenditure
Canada,79098,2013,Total expenditure
Newfoundland and Labrador,75489,2013,Total expenditure
Prince Edward Island,63348,2013,Total expenditure
Nova Scotia,68795,2013,Total expenditure
New Brunswick,65023,2013,Total expenditure
Quebec,68397,2013,Total expenditure
Ontario,82479,2013,Total expenditure
Manitoba,73657,2013,Total expenditure
Saskatchewan,79370,2013,Total expenditure
Alberta,101195,2013,Total expenditure
British Columbia,78851,2013,Total expenditure
Canada,80727,2014,Total expenditure
Newfoundland and Labrador,77339,2014,Total expenditure
Prince Edward Island,68358,2014,Total expenditure
Nova Scotia,70501,2014,Total expenditure
New Brunswick,68650,2014,Total expenditure
Quebec,69209,2014,Total expenditure
Ontario,84406,2014,Total expenditure
Manitoba,76434,2014,Total expenditure
Saskatchewan,85456,2014,Total expenditure
Alberta,100956,2014,Total expenditure
British Columbia,80776,2014,Total expenditure
Canada,82697,2015,Total expenditure
Newfoundland and Labrador,78154,2015,Total expenditure
Prince Edward Island,68441,2015,Total expenditure
Nova Scotia,70940,2015,Total expenditure
New Brunswick,67326,2015,Total expenditure
Quebec,68431,2015,Total expenditure
Ontario,85379,2015,Total expenditure
Manitoba,77043,2015,Total expenditure
